event-id,visible,timestamp,location-long,location-lat,gps:hdop,gps:satellite-count,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18974480173,true,2012-10-05 23:32:11.000,-82.41841,28.0624,2.2,4,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480174,true,2012-10-05 23:36:11.000,-82.41838,28.06222,2.6,3,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480175,true,2012-10-05 23:40:15.000,-82.41814,28.06217,2.5,3,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480176,true,2012-10-05 23:44:14.000,-82.41814,28.06221,2.5,3,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480177,true,2012-10-05 23:48:10.000,-82.41827,28.06219,2.5,3,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480178,true,2012-10-05 23:52:32.000,-82.41837,28.06216,2.5,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480179,true,2012-10-05 23:56:14.000,-82.4183,28.06234,2.7,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480180,true,2012-10-06 00:00:14.000,-82.41843,28.06244,3.6,4,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480181,true,2012-10-06 00:04:12.000,-82.41805,28.06235,1.5,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480182,true,2012-10-06 00:08:18.000,-82.41814,28.06203,1.4,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480183,true,2012-10-06 00:12:13.000,-82.4181,28.06212,3.2,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480184,true,2012-10-06 00:16:09.000,-82.41841,28.06211,2.7,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480185,true,2012-10-06 00:20:10.000,-82.41838,28.06245,2.5,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480186,true,2012-10-06 00:28:14.000,-82.41828,28.06229,1.2,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480187,true,2012-10-06 00:32:10.000,-82.4182,28.06196,1.8,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480188,true,2012-10-06 00:36:08.000,-82.41825,28.06212,2.7,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480189,true,2012-10-06 00:40:12.000,-82.41839,28.06219,1.6,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480190,true,2012-10-06 00:44:10.000,-82.41851,28.06233,1.5,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480191,true,2012-10-06 00:48:08.000,-82.41819,28.06198,3.3,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480192,true,2012-10-06 00:52:11.000,-82.41847,28.06259,2.7,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480193,true,2012-10-06 00:56:11.000,-82.41839,28.06228,2.7,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480194,true,2012-10-06 01:00:08.000,-82.41844,28.06239,1.6,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480195,true,2012-10-06 01:08:11.000,-82.41848,28.06224,1.6,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480196,true,2012-10-06 01:12:07.000,-82.41841,28.06215,2.0,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480197,true,2012-10-06 01:16:10.000,-82.41818,28.06199,2.6,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480198,true,2012-10-06 01:20:10.000,-82.41862,28.06239,3.0,4,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480199,true,2012-10-06 01:24:07.000,-82.41845,28.06219,2.9,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480200,true,2012-10-06 01:28:10.000,-82.41835,28.06235,2.4,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480201,true,2012-10-06 01:32:11.000,-82.41828,28.06219,3.4,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480202,true,2012-10-06 01:36:13.000,-82.41869,28.06263,2.8,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480203,true,2012-10-06 01:40:14.000,-82.41824,28.06223,4.5,4,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480204,true,2012-10-06 01:44:07.000,-82.4184,28.06226,6.9,4,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480205,true,2012-10-06 01:48:12.000,-82.41841,28.06253,3.2,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480206,true,2012-10-06 01:52:14.000,-82.41811,28.06253,2.7,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480207,true,2012-10-06 01:56:11.000,-82.41795,28.06285,2.7,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480208,true,2012-10-06 02:00:09.000,-82.41773,28.0626,3.8,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480209,true,2012-10-06 02:04:11.000,-82.41743,28.06248,3.8,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480210,true,2012-10-06 02:08:13.000,-82.41699,28.06262,4.1,4,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480211,true,2012-10-06 02:12:13.000,-82.41397,28.0608,3.9,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480212,true,2012-10-06 02:16:12.000,-82.41736,28.06301,3.9,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480213,true,2012-10-06 02:20:13.000,-82.41727,28.06292,3.9,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480214,true,2012-10-06 02:24:11.000,-82.41876,28.06281,2.7,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480215,true,2012-10-06 02:28:08.000,-82.4177,28.0621,3.9,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480216,true,2012-10-06 02:32:32.000,-82.41831,28.06235,1.2,8,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480217,true,2012-10-06 02:36:11.000,-82.41797,28.06247,2.0,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480218,true,2012-10-06 02:40:07.000,-82.41782,28.06256,2.0,8,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480219,true,2012-10-06 02:44:08.000,-82.41786,28.0624,1.6,7,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480220,true,2012-10-06 02:48:10.000,-82.4178,28.06255,4.1,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480221,true,2012-10-06 02:52:13.000,-82.41797,28.0621,2.3,7,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480222,true,2012-10-06 02:56:07.000,-82.41804,28.06213,2.1,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480223,true,2012-10-06 03:00:09.000,-82.41844,28.06219,2.5,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480224,true,2012-10-06 03:04:11.000,-82.41832,28.06221,2.0,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
